iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
MDG,Africa,Madagascar,6/29/2020,2078,73,18,2,75.042,2.636,0.65,0.072,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04
MWI,Africa,Malawi,6/29/2020,1146,108,13,0,59.906,5.646,0.68,0,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26
MYS,Asia,Malaysia,6/29/2020,8634,18,121,0,266.761,0.556,3.738,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16
MDV,Asia,Maldives,6/29/2020,2323,18,8,0,4297.538,33.3,14.8,0,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92
MLI,Africa,Mali,6/29/2020,2147,29,114,1,106.02,1.432,5.629,0.049,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31
MLT,Europe,Malta,6/29/2020,670,0,9,0,1517.42,0,20.383,0,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53
MRT,Africa,Mauritania,6/29/2020,3907,0,120,0,840.276,0,25.808,0,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92
MUS,Africa,Mauritius,6/29/2020,341,0,10,0,268.131,0,7.863,0,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99
MEX,North America,Mexico,6/29/2020,216852,4050,26648,267,1681.9,31.412,206.681,2.071,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
MDA,Europe,Moldova,6/29/2020,16250,170,530,9,4028.297,42.142,131.384,2.231,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9
MCO,Europe,Monaco,6/29/2020,103,0,5,0,2624.605,0,127.408,0,39244,19347.5,,,,,,,5.46,,,,13.8,86.75
MNG,Asia,Mongolia,6/29/2020,220,1,0,0,67.108,0.305,0,0,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87
MNE,Europe,Montenegro,6/29/2020,481,12,11,2,765.848,19.106,17.514,3.184,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88
MSR,North America,Montserrat,6/29/2020,11,0,1,0,2200.44,0,200.04,0,4999,,,,,,,,,,,,,74.16
MAR,Africa,Morocco,6/29/2020,12052,175,221,1,326.519,4.741,5.987,0.027,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68
MOZ,Africa,Mozambique,6/29/2020,859,20,5,0,27.483,0.64,0.16,0,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85
